town,flat_type,transactions_all_period,median_resale_price_all_period,median_price_per_sqm_all_period,transaction_value_all_period,transaction_value_billion_all_period,transactions_2025,median_price_per_sqm_2025,transaction_value_2025,transactions_2024,median_price_per_sqm_2024,transaction_growth_pct,price_growth_pct,segment,annual_sample_ok
TOA PAYOH,3 ROOM,3425,333000.0,5000.0,1250340806.88,1.2503408068800002,424.0,6000.0,203977388.0,366.0,5715.355,15.846994535519121,4.980355550967541,TOA PAYOH — 3 ROOM,True
TOA PAYOH,4 ROOM,2638,715000.0,7540.955,1907286232.68,1.90728623268,423.0,10752.69,386183221.0,299.0,9523.81,41.47157190635451,12.903239354838036,TOA PAYOH — 4 ROOM,True
TOA PAYOH,5 ROOM,1396,855000.0,7195.8150000000005,1220207763.0,1.220207763,172.0,8215.205000000002,183383251.0,108.0,8172.815,59.25925925925925,0.5186707395187895,TOA PAYOH — 5 ROOM,True
WOODLANDS,3 ROOM,2072,330000.0,4846.15,710715731.0,0.710715731,201.0,6164.38,88201056.0,271.0,5821.92,-25.830258302583033,5.882251903152236,WOODLANDS — 3 ROOM,True
WOODLANDS,4 ROOM,7715,443000.0,4611.11,3432545189.64,3.43254518964,836.0,5715.139999999999,472156931.88,882.0,5494.51,-5.215419501133789,4.015462707320561,WOODLANDS — 4 ROOM,True
WOODLANDS,5 ROOM,5171,530000.0,4449.15,2741687114.0,2.741687114,515.0,5558.17,346426099.0,626.0,5315.3099999999995,-17.73162939297125,4.569065586014753,WOODLANDS — 5 ROOM,True
WOODLANDS,EXECUTIVE,1833,725000.0,4655.17,1350867070.6,1.3508670705999999,155.0,6016.41,142710098.6,214.0,5681.82,-27.570093457943923,5.888782115589719,WOODLANDS — EXECUTIVE,True
YISHUN,3 ROOM,4412,350000.0,5067.57,1551116682.0,1.551116682,472.0,6406.25,210497333.0,477.0,6074.63,-1.0482180293501009,5.459097920367162,YISHUN — 3 ROOM,True
YISHUN,4 ROOM,7913,448000.0,4782.61,3569729549.88,3.56972954988,825.0,6043.96,467228763.0,894.0,5773.81,-7.718120805369133,4.678886212050615,YISHUN — 4 ROOM,True
YISHUN,5 ROOM,2724,585500.0,4917.695,1586657528.0,1.586657528,266.0,6051.375,190666431.0,311.0,5655.74,-14.469453376205788,6.99528266858096,YISHUN — 5 ROOM,True
YISHUN,EXECUTIVE,767,715000.0,4726.03,554437181.88,0.55443718188,67.0,6156.53,62998492.0,90.0,5821.92,-25.555555555555554,5.7474166597960785,YISHUN — EXECUTIVE,True
